Channel,Precision,Recall,F1_Score,TP,FP,FN,True_Points,Pred_Points
A-1,0.0,0.0,0.0,0,1296,85,85,1296
A-2,0.0,0.0,0.0,0,1192,111,111,1192
A-3,0.0,0.0,0.0,0,1231,186,186,1231
A-4,0.0,0.0,0.0,0,1211,111,111,1211
A-5,0.0,0.0,0.0,0,317,51,51,317
A-6,0.0,0.0,0.0,0,307,41,41,307
A-7,0.0,0.0,0.0,0,1296,2401,2401,1296
A-8,0.0,0.0,0.0,0,373,3806,3806,373
A-9,0.0,0.0,0.0,0,373,3865,3865,373
B-1,0.0,0.0,0.0,0,2339,71,71,2339
C-1,0.296,1.0,0.4568,312,742,0,312,1054
C-2,0.263,0.7372,0.3877,101,283,36,137,384
D-1,0.0,0.0,0.0,0,1282,3259,3259,1282
D-11,0.0,0.0,0.0,0,1175,61,61,1175
D-12,0.0,0.0,0.0,0,231,2740,2740,231
D-13,0.0,0.0,0.0,0,1370,161,161,1370
D-14,0.1821,1.0,0.3081,222,997,0,222,1219
D-15,0.4361,1.0,0.6073,641,829,0,641,1470
D-16,0.5776,1.0,0.7323,651,476,0,651,1127
D-2,0.0,0.0,0.0,0,1296,4218,4218,1296
D-3,0.0,0.0,0.0,0,1296,3276,3276,1296
D-4,0.0,0.0,0.0,0,1275,3248,3248,1275
D-5,0.0,0.0,0.0,0,1153,51,51,1153
D-6,0.0,0.0,0.0,0,1167,81,81,1167
D-7,0.0,0.0,0.0,0,1163,2702,2702,1163
D-8,0.0,0.0,0.0,0,2524,51,51,2524
D-9,0.0,0.0,0.0,0,2574,1156,1156,2574
E-1,0.0,0.0,0.0,0,1296,508,508,1296
E-10,0.0,0.0,0.0,0,1297,322,322,1297
E-11,0.0,0.0,0.0,0,1301,295,295,1301
E-12,0.0,0.0,0.0,0,1296,583,583,1296
E-13,0.0,0.0,0.0,0,1296,264,264,1296
E-2,0.0,0.0,0.0,0,1296,1398,1398,1296
E-3,0.0,0.0,0.0,0,1296,3213,3213,1296
E-4,0.0,0.0,0.0,0,1296,2812,2812,1296
E-5,0.0,0.0,0.0,0,1296,321,321,1296
E-6,0.0,0.0,0.0,0,1296,66,66,1296
E-7,0.0,0.0,0.0,0,1246,281,281,1246
E-8,0.0,0.0,0.0,0,1296,623,623,1296
E-9,0.0,0.0,0.0,0,1296,351,351,1296
F-1,0.0,0.0,0.0,0,1291,101,101,1291
F-2,0.0,0.0,0.0,0,1288,2957,2957,1288
F-3,0.0,0.0,0.0,0,1296,41,41,1296
F-4,0.0,0.0,0.0,0,1010,71,71,1010
F-5,0.0,0.0,0.0,0,1169,151,151,1169
F-7,0.1643,0.4752,0.2442,201,1022,222,423,1223
F-8,0.3908,1.0,0.562,537,837,0,537,1374
G-1,0.0,0.0,0.0,0,1269,121,121,1269
G-2,0.0,0.0,0.0,0,1115,41,41,1115
G-3,0.0,0.0,0.0,0,1181,51,51,1181
G-4,0.0,0.0,0.0,0,1148,31,31,1148
G-6,0.0,0.0,0.0,0,1296,101,101,1296
G-7,0.0,0.0,0.0,0,1122,268,268,1122
M-1,0.7842,1.0,0.879,1141,314,0,1141,1455
M-2,0.6403,1.0,0.7807,1141,641,0,1141,1782
M-3,0.2604,1.0,0.4132,251,713,0,251,964
M-4,0.2582,1.0,0.4105,251,721,0,251,972
M-5,0.3004,1.0,0.462,301,701,0,301,1002
M-6,0.0,0.0,0.0,0,704,181,181,704
M-7,0.1292,1.0,0.2288,101,681,0,101,782
P-1,0.1394,0.2676,0.1833,201,1241,550,751,1442
P-10,0.0,0.0,0.0,0,1939,131,131,1939
P-11,0.1448,1.0,0.2529,228,1347,0,228,1575
P-14,0.0,0.0,0.0,0,1296,181,181,1296
P-15,0.0,0.0,0.0,0,1135,21,21,1135
P-2,0.0,0.0,0.0,0,1269,1121,1121,1269
P-3,0.0,0.0,0.0,0,1285,1336,1336,1285
P-4,0.2373,0.7494,0.3605,332,1067,111,443,1399
P-7,0.0,0.0,0.0,0,1284,1651,1651,1284
R-1,0.0,0.0,0.0,0,2868,81,81,2868
S-1,0.0,0.0,0.0,0,1268,448,448,1268
S-2,0.0,0.0,0.0,0,417,11,11,417
T-1,0.5785,0.9766,0.7266,1500,1093,36,1536,2593
T-12,0.235,1.0,0.3805,121,394,0,121,515
T-13,0.165,0.4008,0.2338,101,511,151,252,612
T-2,0.0,0.0,0.0,0,1285,1785,1785,1285
T-3,0.0613,0.4511,0.108,83,1270,101,184,1353
T-4,0.065,1.0,0.1221,69,992,0,69,1061
T-5,0.0255,1.0,0.0498,26,993,0,26,1019
T-8,0.0,0.0,0.0,0,337,102,102,337
T-9,0.0,0.0,0.0,0,198,112,112,198
